Date,Lending Rate,Interbank Rate,Deposit Rates,Policy Rates,
1/1/2021,44.11,42.95,3.02,40.00,
1/2/2021,44.34,39.90,2.91,40.00,
1/3/2021,45.80,40.82,2.81,40.00,
1/4/2021,46.15,41.17,2.81,40.00,
1/5/2021,45.53,40.72,2.81,40.00,
1/6/2021,46.65,41.06,2.91,40.00,
1/7/2021,46.78,40.74,3.42,40.00,
1/8/2021,49.23,52.36,6.29,40.00,
1/9/2021,49.53,51.58,6.81,40.00,
1/10/2021,50.27,52.18,4.04,60.00,
1/11/2021,48.94,51.24,4.15,60.00,
1/12/2021,49.00,50.97,4.01,60.00,
1/1/2022,48.29,51.88,4.71,60.00,
1/2/2022,48.92,64.02,5.01,60.00,
1/3/2022,49.29,53.83,4.89,60.00,
1/4/2022,48.87,54.73,5.29,80.00,
1/5/2022,48.86,55.54,5.28,80.00,
1/6/2022,49.27,56.28,5.28,80.00,
1/7/2022,103.23,191.98,22.25,200.00,
1/8/2022,105.96,186.99,20.17,200.00,
1/9/2022,110.86,190.02,20.17,200.00,
1/10/2022,113.55,169.03,20.17,200.00,
1/11/2022,113.31,167.23,20.46,200.00,
1/12/2022,112.33,176.68,18.03,200.00,
1/1/2023,107.85,179.28,18.03,200.00,
1/2/2023,92.88,161.71,18.03,150.00,
1/3/2023,92.33,124.21,34.64,150.00,
1/4/2023,90.12,127.14,36.25,140.00,
1/5/2023,92.64,125.94,35.61,140.00,
1/6/2023,90.09,130.22,34.47,140.00,
1/7/2023,90.69,130.52,34.79,150.00,
1/8/2023,90.21,129.68,34.95,150.00,
1/9/2023,88.35,129.35,34.95,150.00,
1/10/2023,86.91,130.10,34.95,150.00,
1/11/2023,85.84,129.67,36.64,130.00,
1/12/2023,85.37,129.12,35.76,130.00,
1/1/2024,85.50,130.05,35.44,130.00,
1/2/2024,76.06,130.24,35.44,130.00,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,725.00,,,,
,20.00,,,,
